episode,score,return,success,avg_score,avg_return,success_rate
1,-458.324347151201,-237.1356214872927,False,-458.324347151201,-237.1356214872927,0.0
2,-260.57688091640296,-131.9673965041847,False,-359.45061403380197,-184.5515089957387,0.0
3,-186.01420085557325,-110.08847428190622,False,-301.63847630772574,-159.7304974244612,0.0
4,-148.6399988196219,-94.04161497455742,False,-263.3888569356998,-143.30827681198525,0.0
5,-176.9988633623298,-89.69874133990953,False,-246.11085822102578,-132.5863697175701,0.0
6,-138.78334687675863,-54.662101748727956,False,-228.2229396636479,-119.59899172276307,0.0
7,-333.82840519585073,-196.79144464260338,False,-243.30943473967687,-130.62648499702598,0.0
8,-215.4675555004481,-88.2508020660446,False,-239.8291998347733,-125.32952463065331,0.0
9,-276.5169851436862,-147.68630407554843,False,-243.9056204246525,-127.81361123564164,0.0
10,-352.7235469953505,-139.27502853765466,False,-254.7874130817223,-128.95975296584294,0.0
11,-286.36408056549936,-104.11912280988446,False,-257.65801921661114,-126.70151386075581,0.0
12,-219.89043276179638,-74.79116337386915,False,-254.5107203453766,-122.37565132018192,0.0
13,-122.18158609874178,-61.230477252569536,False,-244.33155617255852,-117.67217639190403,0.0
14,-61.184752261966814,-26.708469495748297,False,-231.24964160751625,-111.17476875646433,0.0
15,-199.55085782328104,-90.51172777243363,False,-229.13638935523392,-109.79723269086229,0.0
16,-84.26021888811007,-42.17506913483991,False,-220.08162870103865,-105.5708474686109,0.0
17,-252.22758171569004,-123.06751978032693,False,-221.9725671136652,-106.60006348694714,0.0
18,-267.77728969960924,-116.63307959568496,False,-224.51727392399545,-107.1574532707659,0.0
19,-383.5794378121125,-210.9540678527311,False,-232.88896676021213,-112.62043298560617,0.0
20,-137.4528681239452,-55.876135227335084,False,-228.11716182839876,-109.78321809769261,0.0
21,-199.0551236448141,-63.750731940483504,False,-226.7332552482281,-107.59119494734932,0.0
22,-74.26695477065138,-37.97025546938079,False,-219.8029688628837,-104.42660678925985,0.0
23,-270.07498573373954,-151.73451688774105,False,-221.98870872683395,-106.48347244571555,0.0
24,-246.17245118344383,-117.46248119417014,False,-222.99636466252602,-106.94093114356785,0.0
25,-87.2505910243846,-45.470521752802995,False,-217.56653371700034,-104.48211476793726,0.0
26,-251.0978871360376,-107.40653146433745,False,-218.8562011561941,-104.59459233318343,0.0
27,-76.78621279936877,-39.399027725234625,False,-213.59434973557092,-102.17994179214828,0.0
28,-141.8036427616841,-60.03195861853885,False,-211.03039591507496,-100.67465667880508,0.0
29,-61.49801642859076,-12.955493387983477,False,-205.87410696726516,-97.64985794463882,0.0
30,-200.7450726605232,-85.9737763175892,False,-205.70313915704043,-97.26065522373716,0.0
31,-111.0687159873813,-43.18805410686855,False,-202.65041582898692,-95.5163777683543,0.0
32,-43.28644853027197,-7.378346433305957,False,-197.6702918509021,-92.76206428913405,0.0
33,-114.83526650378678,-51.95213023626077,False,-195.16013956765616,-91.52539962086516,0.0
34,-115.50113041286004,-46.85088285805403,False,-192.81722753369158,-90.21144324548835,0.0
35,-133.92083762871812,-40.72202503696018,False,-191.1344735364066,-88.79745986810184,0.0
36,-139.88375898909297,-52.85407447304944,False,-189.710842576759,-87.79903249601705,0.0
37,-164.2381385461025,-76.03514562016568,False,-189.02239111647097,-87.48108960748053,0.0
