episode,score,return,success,avg_score,avg_return,success_rate
1,-91.5199859855305,-50.758016611343265,False,-91.5199859855305,-50.758016611343265,0.0
2,-331.9880928279993,-168.11483010478292,False,-211.7540394067649,-109.4364233580631,0.0
3,-277.59658447220204,-138.80987630047832,False,-233.70155442857728,-119.22757433886818,0.0
4,-330.2281271215468,-133.22352321787955,False,-257.8331976018196,-122.72656155862103,0.0
5,-441.8644896805141,-160.59440881281526,False,-294.6394560175585,-130.30013100945988,0.0
6,-141.7108601043022,-72.90727226457705,False,-269.15135669868243,-120.7346545519794,0.0
7,-115.03775554015519,-71.32485014194896,False,-247.13512796174996,-113.67611106483218,0.0
8,-123.2100806648196,-65.78115154191147,False,-231.64449704963369,-107.6892411244671,0.0
9,-105.8096168774972,-54.9485092497749,False,-217.66284369717408,-101.82915980505686,0.0
10,-122.7984696841065,-65.20967436475206,False,-208.1764062958673,-98.16721126102638,0.0
11,-88.80603437461909,-52.150081823022596,False,-197.3245543030266,-93.9838358575715,0.0
12,-412.62469587291565,-79.03224363103992,False,-215.266232767184,-92.73786983869387,0.0
13,-58.68092102767929,-69.53920893751143,False,-203.2212087872221,-90.95335746167983,0.0
14,-112.65885807551706,-45.52109387588011,False,-196.75246945067173,-87.70819577697985,0.0
15,-177.503762500886,-70.19938352911109,False,-195.46922232068601,-86.54094162712194,0.0
16,-196.9455163339483,-67.65625957889054,False,-195.56149069651494,-85.36064899910747,0.0
17,-305.4508968977932,-19.525381009381626,False,-202.0255734142372,-81.48798617618242,0.0
18,-128.6773676228272,-74.02652603348669,False,-197.95067309249217,-81.07346061269932,0.0
19,-75.32019961661607,-17.705180484896218,False,-191.49643764639345,-77.7382879743939,0.0
20,-157.772716850542,-44.325323448861226,False,-189.81025160660087,-76.06763974811726,0.0
21,-246.45093308920855,-81.41047276428026,False,-192.5074269152965,-76.32206036793454,0.0
22,-178.08632496552286,-50.763720364460504,False,-191.85192228121588,-75.1603176405039,0.0
23,-331.69543067438866,-81.91096535778433,False,-197.93207482004945,-75.45382406299436,0.0
24,-362.84696468227554,-60.582224252865956,False,-204.80352856430886,-74.83417407090568,0.0
25,-171.67359989745785,-22.609976168059454,False,-203.47833141763485,-72.74520615479182,0.0
26,-146.60988115966686,-55.16637636816668,False,-201.29108333078992,-72.0690973168447,0.0
27,-240.50846185517315,-68.2209802134661,False,-202.743578831693,-71.92657446116402,0.0
28,-244.7293138854706,-20.535394289302374,False,-204.24306936932788,-70.09117516931181,0.0
29,-83.1977802466775,-42.658786547667006,False,-200.06909388233993,-69.14523073408269,0.0
30,-131.21028346704068,-75.24302351464767,False,-197.77380020182994,-69.34849049343485,0.0
31,-197.47390469969662,-104.3482637203866,False,-197.764126153374,-70.47751543623974,0.0
32,13.344261691915037,-17.525149942941155,False,-191.16698903320878,-68.82275401457417,0.0
33,-169.5548793816535,-80.60657652962789,False,-190.5120766195253,-69.17983954533338,0.0
34,-185.9605894980957,-93.6086528548822,False,-190.37820935124796,-69.89833405443775,0.0
35,-74.18315894211119,-53.08735404186542,False,-187.05835076812974,-69.41802033979283,0.0
36,-237.0021161939639,-122.09573876863521,False,-188.44567758551403,-70.88129029614957,0.0
37,-209.03635037882248,-92.4632043489058,False,-189.00218225560343,-71.4645852705484,0.0
38,-341.2689881011976,-159.32908166148246,False,-193.00920346206644,-73.7768088597835,0.0
39,-61.63835230652215,-46.121176667097615,False,-189.64072009910376,-73.06769008561207,0.0
40,-440.0411518969731,-248.05343865166282,False,-195.9007308940505,-77.4423337997633,0.0
41,-471.9274001044473,-210.79900311456038,False,-202.63308867966992,-80.69493549036812,0.0
42,-435.70212890258574,-271.84922758789963,False,-208.1823515421203,-85.24622815935697,0.0
43,-185.17692571077586,-104.74503260597099,False,-207.64734163906576,-85.69968872788287,0.0
44,-473.5495251794096,-277.768049237922,False,-213.69057308316448,-90.06487873947468,0.0
45,-339.6699736697237,-130.94806103742798,False,-216.49011531842132,-90.97339390165142,0.0
46,-285.8763689766265,-130.20240481595252,False,-217.99851213707797,-91.82619848674493,0.0
47,-53.773435371873575,-31.58415760503012,False,-214.50436156760554,-90.54445293607013,0.0
48,-414.2411610836534,-183.02842608557046,False,-218.66554489085658,-92.47120237668473,0.0
49,-239.68998755089984,-109.36583365089241,False,-219.0946151492248,-92.81599077003591,0.0
50,-192.1006967884084,-96.59548523130198,False,-218.5547367820085,-92.89158065926122,0.0
51,-319.3103750473343,-159.2541386435563,False,-220.53033753230898,-94.19280728640425,0.0
52,-264.0949382428105,-126.53636305319264,False,-221.36811831520325,-94.81479874345789,0.0
53,-243.82281964486737,-108.08065305552147,False,-221.7917919251969,-95.06509788142135,0.0
54,-230.06499022400666,-105.00742431413805,False,-221.9449993011008,-95.24921503758277,0.0
55,-220.1140940552556,-108.36085519803689,False,-221.9117101148127,-95.48760849504558,0.0
56,-201.1163689474305,-69.59049190351267,False,-221.5403647368237,-95.02515998448247,0.0
57,-194.91603840558793,-97.50512136634586,False,-221.07327129241608,-95.06866807890113,0.0
58,-367.66856255041034,-129.92064166251365,False,-223.60077631410564,-95.66956417517031,0.0
59,-321.0664366169191,-133.64527939969045,False,-225.2527366582211,-96.31322036541641,0.0
60,-358.5630450129747,-155.54913898539453,False,-227.47457513080033,-97.30048567574937,0.0
61,-395.69157065873503,-190.4965215922931,False,-230.2322307951927,-98.8282895432337,0.0
62,-39.99709598107671,-32.73938537233735,False,-227.16392216915855,-97.76233947596117,0.0
63,-354.63267316770595,-122.32329662977025,False,-229.187235677072,-98.15219593872004,0.0
64,-224.05084186704087,-85.14872329468237,False,-229.1069795237903,-97.94901667865697,0.0
65,-354.1900622669231,-153.35078822799647,False,-231.03133464291543,-98.8013516255699,0.0
66,-195.83249911758674,-93.0500763431734,False,-230.49801895313772,-98.71421109098813,0.0
67,-255.74133273552843,-141.42797092826387,False,-230.87478483048685,-99.35172989452956,0.0
68,-180.29177970434918,-88.30436482219736,False,-230.1309171080436,-99.18926864346585,0.0
69,-164.0741401968706,-75.49392859080208,False,-229.17357251512806,-98.84585791806492,0.0
70,-174.30961251241453,-71.02394042233311,False,-228.38980165794644,-98.44840195384018,0.0
71,-195.8039988472377,-90.26729396588283,False,-227.93084668878151,-98.33317508077036,0.0
72,-96.67726504791543,-16.590685844345334,False,-226.10788027710285,-97.19786273026446,0.0
73,-131.38534208991956,-34.89451484651667,False,-224.81031126084008,-96.344392211309,0.0
74,-155.45593538388957,-39.27452458517834,False,-223.8730899652056,-95.57317778392886,0.0
75,-185.8804303992602,-44.04346326746544,False,-223.36652117099302,-94.88611492370934,0.0
76,-156.53428472841574,-64.84220247962215,False,-222.48714963885385,-94.49080028628714,0.0
77,-137.51425711786587,-48.24855826107829,False,-221.38360558013972,-93.89025168855716,0.0
78,-171.7562612659556,-27.482957529213525,False,-220.74735757611174,-93.03887612241172,0.0
79,-178.99587294654185,-22.538422697993727,False,-220.21885777067416,-92.14646531957099,0.0
80,-208.21307790859544,-39.670378213903554,False,-220.06878552239814,-91.49051423075016,0.0
81,-175.38752419240402,-13.510549210490968,False,-219.51716501215128,-90.52779861321609,0.0
82,-166.16360801258054,-8.09532362151998,False,-218.86651187801016,-89.52252452795152,0.0
83,-181.14380648712316,-28.45346674617979,False,-218.41202145161392,-88.78675274744823,0.0
84,-182.9190636480288,-31.21248099212357,False,-217.98948623966646,-88.10134475036104,0.0
85,-294.2195645437089,4.691048488586629,False,-218.88631069030225,-87.00966953578518,0.0
86,-144.8311461269653,-8.721458805863282,False,-218.0252041256123,-86.0993415040419,0.0
87,-99.44739450834363,11.90980188700728,False,-216.6622407966782,-84.97279962598387,0.0
88,-123.28002148505497,16.421265020452655,False,-215.60107921359156,-83.82059434591072,0.0
89,-161.95488812592012,-14.606079707224636,False,-214.99831302159527,-83.04290317019515,0.0
90,-66.45825142126492,20.364359938724636,False,-213.34786789270268,-81.89393358009605,0.0
91,-97.55167015734355,15.832922068358709,False,-212.07538220330312,-80.82001208945368,0.0
92,-59.42253730366795,32.30949268036303,False,-210.41611215004622,-79.59034355934698,0.0
93,-75.78780168902014,6.1212703740872,False,-208.96849590852983,-78.66871330199822,0.0
94,-65.67839995924504,23.331037048635263,False,-207.4441331856651,-77.58360957486383,0.0
95,-60.904857915374514,10.6377212251649,False,-205.9016144986094,-76.65496398749511,0.0
96,-61.95553618566369,39.47289301186155,False,-204.40217618284956,-75.44529881041846,0.0
97,-103.57605423631338,-5.690380152138698,False,-203.3627316266997,-74.7261759376527,0.0
98,-91.86091904106445,0.2991324002059879,False,-202.2249580288871,-73.96061156685822,0.0
99,-117.70173630447016,-7.737687075873263,False,-201.37118811247885,-73.29169313765635,0.0
100,-130.9070719376342,-8.43410302706384,False,-200.6665469507304,-72.64311723655042,0.0
101,-232.56352562826365,-17.139600743910677,False,-202.07698234715772,-72.3069330778761,0.0
102,-114.8499203620539,-5.610600280263297,False,-199.90560062249824,-70.6818907796309,0.0
103,-118.83945147610643,-36.52487764631611,False,-198.31802929253732,-69.65904079308928,0.0
104,-249.95180963427242,-18.092539285683287,False,-197.51526611766454,-68.50773095376732,0.0
105,-302.59117534840914,-33.93078663531678,False,-196.12253297434353,-67.24109473199233,0.0
106,-243.11959119986227,-7.348272469249393,False,-197.13662028529913,-66.58550473403906,0.0
107,-256.7625252979872,-27.019785276676693,False,-198.55386798287748,-66.14245408538633,0.0
108,-308.17755693467444,-53.72608914015558,False,-200.403542745576,-66.02190346136878,0.0
109,-363.4210888762955,-34.901874374262405,False,-202.97965746556406,-65.82143711261365,0.0
110,-409.1379663123849,-27.12625973187842,False,-205.8430524318468,-65.44060296628493,0.0
111,-397.4663301145028,-55.45449995234706,False,-208.92965538924562,-65.47364714757816,0.0
112,-225.72597857337786,-41.45281464781563,False,-207.0606682162502,-65.09785285774592,0.0
113,-153.426577453993,-20.529176656294265,False,-208.00812478051336,-64.60775253493374,0.0
